lat,long,ranking ,name,address,city,region,,,,,,
44.0449982,-123.0749969,80,University of Oregon,"University of Oregon, OR",0,ignore,,,,,,
38.95857,-95.24767,81,University of Kansas,"1450 Jayhawk Blvd, Lawrence, KS 66045",0,ignore,,,,,,
39.1342163,-84.5129013,82,University of Cincinnati,"University of Cincinnati, OH",0,ignore,,,,,,
35.0781059,-106.6258774,83,University of New Mexico,"University of New Mexico, NM",0,ignore,,,,,,
41.5078049,-81.6090622,84,Case Western Reserve University,"Case Western Reserve University, OH",0,ignore,,,,,,
39.9799995,-75.1600037,85,Temple University,"Temple University, PA",Philadelphia,pennsylvania,,,,,,
29.7189217,-95.3391647,86,University of Houston,"University of Houston, TX",Houston,texas,,,,,,
42.3600197,-83.0689392,87,Wayne State University,"Wayne State, Detroit, MI",0,ignore,,,,,,
38.8301163,-77.3080368,88,George Mason University,"George Mason University, VA",Baltimore,maryland,,,,,,
33.9930344,-81.0271912,89,University of South Carolina,"University of South Carolina, SC",0,ignore,,,,,,
39.7743073,-86.1763916,90,Indiana University/Purdue University Indianapolis,"IUPUI, IN",0,ignore,,,,,,
35.196022,-97.440567,91,University of Oklahoma,"University of Oklahoma, OK",0,ignore,,,,,,
30.4064045,-91.1804581,92,Louisiana State University,"Baton Rouge, LA 70803",0,ignore,,,,,,
42.7312546,-73.6841507,93,Rensselaer Polytechnic Institute,"Rensselaer Polytechnic Institute, NY",0,ignore,,,,,,
40.2531204,-111.650856,94,Brigham Young University,"Brigham Young University, UT",0,ignore,,,,,,
40.9116096,-73.1193542,95,Stony Brook University,"State University of New York at Stony Brook, NY",New York,new york,,,,,,
43.0311394,-76.1184311,96,Syracuse University,"University, Syracuse, NY",0,ignore,,,,,,
39.957756,-75.1963577,97,Drexel University,"Drexel University, PA",Philadelphia,pennsylvania,,,,,,
33.5014534,-86.8064041,98,University of Alabama Birmingham,"Birmingham, AL 35294",0,ignore,,,,,,
39.29173,-76.62498,99,University of Maryland Baltimore,"620 W Lexington St, Baltimore, MD 21201",Baltimore,maryland,,,,,,
44.4733543,-73.1971283,100,University of Vermont,"University of Vermont, VT",0,ignore,,,,,,
