FUNDING,name,State
185212,hiv,MASSACHUSETTS
337250,stress,MASSACHUSETTS
137124,immune,MASSACHUSETTS
395227,alcohol,Others
300278,alcohol,Others
999961,alcohol,ILLINOIS
457465,tumor,MASSACHUSETTS
139752,aging,MASSACHUSETTS
495128,aging,MASSACHUSETTS
518165,tumor,MASSACHUSETTS
339670,aging,MASSACHUSETTS
871466,immune,MASSACHUSETTS
398499,immune,MASSACHUSETTS
157e3,diabetes,NEW YORK
117750,brain,NEW YORK
371100,hiv,Others
466591,hiv,Others
2028370,aging,Others
180457,alcohol,Others
733373,alcohol,Others
43576,diabetes,Others
204110,hiv,Others
138327,alcohol,Others
93588,stress,Others
179320,hiv,Others
329286,stress,Others
292983,aging,Others
107710,aging,Others
43576,aging,Others
261525,hiv,Others
452786,aging,Others
179996,alcohol,Others
99955,hiv,Others
430066,brain,Others
187184,hiv,Others
1270011,hiv,Others
554631,aging,Others
180674,alcohol,Others
506516,alcohol,Others
170205,hiv,Others
356039,alcohol,Others
751156,hiv,Others
691840,hiv,Others
516808,alcohol,Others
233594,hiv,Others
248237,hiv,Others
178027,alcohol,Others
167725,hiv,Others
523190,alcohol,Others
243997,aging,Others
255108,hiv,Others
358644,lung,Others
175208,hiv,Others
248916,brain,Others
181131,aging,Others
1477797,aging,Others
132448,hiv,Others
583220,hiv,Others
43576,alcohol,Others
708750,hiv,Others
296596,hiv,Others
664670,hiv,Others
4e4,aging,CALIFORNIA
746430,aging,CALIFORNIA
452400,aging,CALIFORNIA
578475,aging,CALIFORNIA
428123,aging,CALIFORNIA
397700,aging,CALIFORNIA
252555,aging,CALIFORNIA
339500,aging,CALIFORNIA
52542,aging,CALIFORNIA
397700,aging,CALIFORNIA
339816,aging,PENNSYLVANIA
203791,aging,Others
254704,alcohol,Others
206030,alcohol,Others
583800,immune,Others
432469,stress,Others
492565,hiv,Others
497195,hiv,Others
505834,alcohol,Others
224968,brain,CALIFORNIA
25e3,brain,CALIFORNIA
1499999,stress,CALIFORNIA
209307,breast,Others
320988,aging,CALIFORNIA
1e5,aging,CALIFORNIA
864660,aging,CALIFORNIA
694997,aging,CALIFORNIA
241788,brain,CALIFORNIA
416250,brain,CALIFORNIA
249448,aging,CALIFORNIA
4894251,hiv,CALIFORNIA
1010481,brain,CALIFORNIA
206872,brain,CALIFORNIA
374625,aging,CALIFORNIA
47e4,aging,CALIFORNIA
250125,brain,CALIFORNIA
936185,brain,CALIFORNIA
